source,target,material,year,value
uk_intermediate,Mechanical Engineering,Rods,2016,98.81379488767305
Mechanical Engineering,scrap,scrap Rods,2016,0.9881379488767306
Mechanical Engineering,products,Mechanical engineering,2016,97.82565693879633
uk_intermediate,Automotive,Rods,2016,86.33205237554593
Automotive,scrap,scrap Rods,2016,0.8633205237554593
Automotive,products,Vehicles,2016,85.46873185179047
uk_intermediate,Electrical,Rods,2016,30.164211070973877
Electrical,scrap,scrap Rods,2016,0.3016421107097388
Electrical,products,Electrical engineering,2016,29.862568960264138
uk_intermediate,Other Transport,Rods,2016,16.642323349502828
Other Transport,scrap,scrap Rods,2016,0.16642323349502827
Other Transport,products,Shipbuilding,2016,16.4759001160078
uk_intermediate,Tubes,Rods,2016,0.0
Tubes,scrap,scrap Rods,2016,0.0
Tubes,products,"Boilers, drums and other vessels",2016,0.0
uk_intermediate,Metal Goods,Rods,2016,215.31005833419283
Metal Goods,scrap,scrap Rods,2016,2.1531005833419283
Metal Goods,products,Metal goods,2016,213.1569577508509
uk_intermediate,Other sectors,Rods,2016,102.97437572504876
Other sectors,scrap,scrap Rods,2016,1.0297437572504875
Other sectors,products,Other industries,2016,101.94463196779827
products,product_exports,"Boilers, drums and other vessels",2016,170.081736
products,uk_demand,"Boilers, drums and other vessels",2016,424.14669890684206
product_imports,uk_demand,"Boilers, drums and other vessels",2016,638.824227
products,product_exports,Electrical engineering,2016,172.1913558
products,uk_demand,Electrical engineering,2016,172.50912454399713
product_imports,uk_demand,Electrical engineering,2016,583.3900251
products,product_exports,Mechanical engineering,2016,1422.29737682
products,uk_demand,Mechanical engineering,2016,-278.3885790565387
product_imports,uk_demand,Mechanical engineering,2016,1876.30750162
products,product_exports,Metal goods,2016,413.9758859
products,uk_demand,Metal goods,2016,1434.0056810776923
product_imports,uk_demand,Metal goods,2016,1477.6648166
products,product_exports,Other industries,2016,162.52185419999998
products,uk_demand,Other industries,2016,440.1793430824616
product_imports,uk_demand,Other industries,2016,456.9359514
products,product_exports,Shipbuilding,2016,84.5897395
products,uk_demand,Shipbuilding,2016,123.69338874348638
product_imports,uk_demand,Shipbuilding,2016,138.81389969999998
products,product_exports,Structural steelwork and building and civil engineering,2016,376.092217
products,uk_demand,Structural steelwork and building and civil engineering,2016,3867.253622921736
product_imports,uk_demand,Structural steelwork and building and civil engineering,2016,1118.063483
products,product_exports,Vehicles,2016,2245.6731728399996
products,uk_demand,Vehicles,2016,-528.6007300027286
product_imports,uk_demand,Vehicles,2016,3446.79954082
